Timestamp;HEX1_Ta_inlet (degC (Ave));HEX1_Ta_outlet (degC (Ave));HEX1_v_outlet (m/s)
21/05/2024 23:15;16.1373005;21.3143895;0.74772175
21/05/2024 23:20;16.0730688;21.2911728;0.7477708
21/05/2024 23:25;15.827792;21.3170364;0.7575152
21/05/2024 23:30;15.986948;21.348214;0.758594
21/05/2024 23:45;16.294312;21.2334325;0.7568775
21/05/2024 23:50;16.2962812;21.2198464;0.7548196
21/05/2024 23:55;16.231438;21.2305776;0.7609134
22/05/2024 00:00;15.971882;21.158298;0.744092
22/05/2024 00:15;15.7258555;21.169984;0.7436815
22/05/2024 00:20;15.6654096;21.1665348;0.7401734
22/05/2024 00:25;15.4804312;21.144454;0.7399424
22/05/2024 00:30;15.546474;21.169774;0.735844
22/05/2024 00:45;15.5601395;21.0191525;0.73173475
22/05/2024 00:50;15.6126196;21.0259948;0.732496
22/05/2024 00:55;15.4998052;20.9860724;0.7257932
22/05/2024 01:00;15.46061;20.943902;0.733674
22/05/2024 01:15;14.995561;20.8692895;0.73431475
22/05/2024 01:20;14.8679608;20.8299408;0.7493474
22/05/2024 01:25;15.0376116;20.8234748;0.7456404
22/05/2024 01:30;15.038872;20.76949;0.730235
22/05/2024 01:45;15.1465405;20.725101;0.724475
22/05/2024 01:50;15.1493652;20.6584764;0.7468996
22/05/2024 01:55;15.2930948;20.6447172;0.7474174
22/05/2024 02:00;15.166174;20.726758;0.743537
22/05/2024 02:15;15.084366;20.511514;0.74207125
22/05/2024 02:20;15.0255996;20.564462;0.7369506
22/05/2024 02:25;14.9596756;20.5618408;0.7320832
22/05/2024 02:30;14.86958;20.558258;0.696593
22/05/2024 02:45;14.586677;20.393387;0.7377095
22/05/2024 02:50;14.5406068;20.3916144;0.7424624
22/05/2024 02:55;14.4844604;20.3932132;0.735969
22/05/2024 03:00;14.43761;20.252734;0.737769
22/05/2024 03:15;14.508126;20.177297;0.74414875
22/05/2024 03:20;14.4127904;20.1425284;0.7385476
22/05/2024 03:25;14.3577412;20.10329;0.7476274
22/05/2024 03:30;14.266434;20.150302;0.747965
22/05/2024 03:45;14.5752995;19.977143;0.75222625
22/05/2024 03:50;14.4635064;19.8951628;0.7439316
22/05/2024 03:55;14.3666148;19.8593496;0.746902
22/05/2024 04:00;14.50664;19.834354;0.752954
22/05/2024 04:15;14.407632;19.6811685;0.75235775
22/05/2024 04:20;14.2060836;19.6323664;0.7591572
22/05/2024 04:25;14.0888588;19.577036;0.7480858
22/05/2024 04:30;14.147726;19.450748;0.752311
22/05/2024 04:45;13.9620325;19.458499;0.75226975
22/05/2024 04:50;14.081398;19.4576856;0.7648318
22/05/2024 04:55;13.92636;19.360232;0.7519608
22/05/2024 05:00;13.941374;19.328244;0.763186
22/05/2024 05:15;14.01767;19.0900905;0.75464775
22/05/2024 05:20;14.0620908;19.0717444;0.7580586
22/05/2024 05:25;14.0359572;19.0164856;0.7605998
22/05/2024 05:30;14.06196;19.07077;0.73948
22/05/2024 05:45;14.1110875;18.8788375;0.756091
22/05/2024 05:50;14.1305992;18.8808732;0.7618604
22/05/2024 05:55;14.1573928;18.8255568;0.762422
22/05/2024 06:00;14.210684;18.702914;0.751254
22/05/2024 06:15;14.409054;18.611171;0.759395
22/05/2024 06:20;14.5486696;18.5237068;0.7660764
22/05/2024 06:25;14.6791996;18.5494244;0.7561554
22/05/2024 06:30;14.825844;18.533978;0.757509
22/05/2024 06:45;15.418623;18.5532165;0.75181175
22/05/2024 06:50;15.5230992;18.5030656;0.7544544
22/05/2024 06:55;15.7685564;18.5172608;0.7683636
22/05/2024 07:00;15.863264;18.501188;0.759449
22/05/2024 07:15;17.417991;18.4661365;0.764857
22/05/2024 07:20;17.5750952;18.483292;0.7494486
22/05/2024 07:25;17.9193004;18.546472;0.7467472
22/05/2024 07:30;18.013774;18.525898;0.758276
22/05/2024 07:45;18.1574045;18.6139265;0.760989
22/05/2024 07:50;18.5216836;18.6079036;0.7543182
22/05/2024 07:55;19.7444564;18.6207128;0.7241598
22/05/2024 08:00;19.40309;18.68645;0.750871
22/05/2024 08:15;19.6615185;18.8126975;0.755485
22/05/2024 08:20;19.4782744;18.8912708;0.746224
22/05/2024 08:25;20.0136992;18.9529432;0.7431194
22/05/2024 08:30;20.148818;19.00159;0.731255
22/05/2024 08:45;20.4532385;19.1840105;0.7446525
22/05/2024 08:50;20.2806736;19.09641;0.7414486
22/05/2024 08:55;21.4725472;19.212124;0.7375726
22/05/2024 09:00;20.910182;19.203956;0.755627
22/05/2024 09:15;21.7430795;19.566236;0.75103275
22/05/2024 09:20;22.4783684;19.6469964;0.7293404
22/05/2024 09:25;22.325576;19.7043656;0.7479876
22/05/2024 09:30;22.258778;19.773018;0.734017
22/05/2024 09:45;22.982308;20.06769;0.7300355
22/05/2024 09:50;24.3247856;20.145812;0.71256
22/05/2024 09:55;24.12744;20.188906;0.7248386
22/05/2024 10:00;22.34832;20.198682;0.746754
22/05/2024 10:15;23.552351;20.526936;0.738488
22/05/2024 10:20;23.2791088;20.590726;0.7270442
22/05/2024 10:25;22.8251876;20.6582004;0.7225578
22/05/2024 10:30;23.237208;20.76675;0.728789
22/05/2024 10:45;24.123971;21.0173175;0.710452
22/05/2024 10:50;24.6148084;21.1042172;0.7064788
22/05/2024 10:55;24.1421992;21.0402876;0.7153902
22/05/2024 11:00;22.843682;21.050332;0.688289
22/05/2024 11:15;24.5859945;21.343666;0.72331525
22/05/2024 11:20;26.2922308;21.4718692;0.699372
22/05/2024 11:25;25.9590828;21.4727904;0.7040028
22/05/2024 11:30;23.680574;21.54073;0.70223
22/05/2024 11:45;24.870207;21.7295835;0.7319645
22/05/2024 11:50;25.5427532;21.8048036;0.6987082
22/05/2024 11:55;23.5415392;21.8696772;0.7024808
22/05/2024 12:00;23.625354;21.90495;0.721963
22/05/2024 12:15;23.5325585;22.0532335;0.72907275
22/05/2024 12:20;23.6467892;22.052592;0.7209786
22/05/2024 12:25;22.9393084;22.0741556;0.7339802
22/05/2024 12:30;23.179262;22.087246;0.72091
22/05/2024 12:45;23.9485115;22.1134355;0.70922725
22/05/2024 12:50;23.5662972;22.1629036;0.720411
22/05/2024 12:55;23.4262288;22.1712912;0.7374074
22/05/2024 13:00;22.746912;22.115646;0.742738
22/05/2024 13:15;23.567494;22.2070235;0.7168245
22/05/2024 13:20;22.4520372;22.2592672;0.6956428
22/05/2024 13:25;22.232636;22.2039044;0.7074798
22/05/2024 13:30;22.340676;22.254148;0.670122
22/05/2024 13:45;22.617248;22.174869;0.677839
22/05/2024 13:50;22.6387116;22.2513064;0.6880112
22/05/2024 13:55;22.4039244;22.231798;0.6984888
22/05/2024 14:00;22.320948;22.27955;0.713179
22/05/2024 14:15;22.998819;22.397662;0.683679
22/05/2024 14:20;21.8431868;22.350272;0.6874826
22/05/2024 14:25;21.3913132;22.3086628;0.6936678
22/05/2024 14:30;21.245594;22.291138;0.727172
22/05/2024 14:45;18.995188;22.2159345;0.7251755
22/05/2024 14:50;18.7313636;22.091006;0.7489464
22/05/2024 14:55;15.9352908;22.1220856;0.79159
22/05/2024 15:00;14.63989;22.028842;0.771733
22/05/2024 15:15;14.0725675;22.054906;0.7105445
22/05/2024 15:20;13.3643584;22.0360548;0.7434378
22/05/2024 15:25;13.1433152;21.991528;0.7333466
22/05/2024 15:30;13.319176;22.002282;0.758719
22/05/2024 15:45;14.0490645;21.921126;0.7572375
22/05/2024 15:50;14.182346;21.9588924;0.7468994
22/05/2024 15:55;14.3444016;21.912246;0.7438542
22/05/2024 16:00;14.448958;21.814844;0.748627
22/05/2024 16:15;15.7874725;21.776348;0.70295025
22/05/2024 16:20;16.0761676;21.734078;0.7079144
22/05/2024 16:25;16.1993384;21.7831724;0.7339976
22/05/2024 16:30;16.327466;21.727138;0.763291
22/05/2024 16:45;16.7056215;21.6844155;0.73904025
22/05/2024 16:50;16.5053744;21.6321076;0.7379258
22/05/2024 16:55;16.435108;21.6171316;0.7209044
22/05/2024 17:00;16.420678;21.589308;0.695046
22/05/2024 17:15;16.778324;21.6505005;0.74262775
22/05/2024 17:20;16.8326004;21.6393096;0.7369672
22/05/2024 17:25;16.7444892;21.5944156;0.7314048
22/05/2024 17:30;16.85426;21.530158;0.74264
22/05/2024 17:45;17.588455;21.5083045;0.746539
22/05/2024 17:50;17.6208656;21.4712032;0.7184262
22/05/2024 17:55;17.6811768;21.5185388;0.7105892
22/05/2024 18:00;17.617028;21.479544;0.677238
22/05/2024 18:15;17.625842;21.518277;0.70301025
22/05/2024 18:20;18.0308884;21.467152;0.6882156
22/05/2024 18:25;18.4156404;21.4872256;0.6939418
22/05/2024 18:30;18.585576;21.476826;0.704535
22/05/2024 18:45;18.2775655;21.4694505;0.708951
22/05/2024 18:50;18.2735652;21.476636;0.719682
22/05/2024 18:55;18.3013944;21.4775916;0.7171978
22/05/2024 19:00;18.452282;21.450026;0.745096
22/05/2024 19:15;18.116411;21.448585;0.724918
22/05/2024 19:20;18.0305716;21.3991116;0.7120614
22/05/2024 19:25;17.9560124;21.3745764;0.7351684
22/05/2024 19:30;17.901364;21.366894;0.736583
22/05/2024 19:45;17.378302;21.3202415;0.72282725
22/05/2024 19:50;17.2274348;21.2946928;0.70149
22/05/2024 19:55;17.1371848;21.2816588;0.7193072
22/05/2024 20:00;17.143086;21.22091;0.713213
22/05/2024 20:15;16.97436;21.213416;0.70276925
22/05/2024 20:20;17.0354732;21.1889392;0.7062382
22/05/2024 20:25;17.0693384;21.1535732;0.717023
22/05/2024 20:30;17.021298;21.126368;0.71118
22/05/2024 20:45;16.011263;21.098804;0.72021825
22/05/2024 20:50;15.8802832;21.1976676;0.70887
22/05/2024 20:55;15.8695148;21.1723204;0.7137692
22/05/2024 21:00;15.854324;21.152324;0.693392
22/05/2024 21:15;15.4638205;20.992241;0.7083255
22/05/2024 21:20;15.5527076;20.973276;0.709956
22/05/2024 21:25;15.5571476;20.9534672;0.7029054
22/05/2024 21:30;15.521082;20.877026;0.69928
22/05/2024 21:45;15.408359;20.9199585;0.71474175
22/05/2024 21:50;14.5753048;20.9194108;0.7120872
22/05/2024 21:55;14.1760188;20.8594224;0.7096152
22/05/2024 22:00;13.936936;20.786258;0.70731
22/05/2024 22:15;13.877638;20.7087325;0.70219075
22/05/2024 22:20;13.9459744;20.6634428;0.7144122
22/05/2024 22:25;13.8935984;20.6142128;0.7065414
22/05/2024 22:30;14.002376;20.586738;0.741542
22/05/2024 22:45;13.9915125;20.4718865;0.716642
22/05/2024 22:50;13.9395928;20.458402;0.7116158
22/05/2024 22:55;13.8529676;20.4111228;0.7264142
22/05/2024 23:00;13.790244;20.331616;0.705629
22/05/2024 23:15;14.0295425;20.225866;0.6993855
22/05/2024 23:20;14.1103832;20.2136152;0.714994
22/05/2024 23:25;14.1772492;20.1593612;0.719026
22/05/2024 23:30;14.241648;20.146988;0.699661
22/05/2024 23:45;13.325061;20.133479;0.72193475
22/05/2024 23:50;13.1225236;20.143308;0.715399
22/05/2024 23:55;12.9582928;20.1196728;0.7229006
23/05/2024 00:00;12.929586;20.147462;0.712389
23/05/2024 00:15;12.761229;19.9456185;0.72524425
23/05/2024 00:20;12.7613276;19.8947832;0.7103472
