Time (s),T_air_outlet (°C)
2023-12-22 03:50:00,-inf
2023-12-22 03:55:00,-inf
2023-12-22 04:00:00,-inf
2023-12-22 04:15:00,-inf
2023-12-22 04:20:00,-inf
2023-12-22 04:25:00,-inf
2023-12-22 04:30:00,-inf
2023-12-22 04:45:00,-inf
2023-12-22 04:50:00,-inf
2023-12-22 04:55:00,-inf
2023-12-22 05:00:00,-inf
2023-12-22 05:15:00,-inf
2023-12-22 05:20:00,-inf
2023-12-22 05:25:00,-inf
2023-12-22 05:30:00,-inf
2023-12-22 05:45:00,-inf
2023-12-22 05:50:00,-inf
2023-12-22 05:55:00,-inf
2023-12-22 06:00:00,-inf
2023-12-22 06:15:00,-inf
2023-12-22 06:20:00,-inf
2023-12-22 06:25:00,-inf
2023-12-22 06:30:00,-inf
2023-12-22 06:45:00,-inf
2023-12-22 06:50:00,-inf
2023-12-22 06:55:00,-inf
2023-12-22 07:00:00,-inf
2023-12-22 07:15:00,-inf
2023-12-22 07:20:00,-inf
2023-12-22 07:25:00,-inf
2023-12-22 07:30:00,-inf
2023-12-22 07:45:00,-inf
2023-12-22 07:50:00,-inf
2023-12-22 07:55:00,-inf
2023-12-22 08:00:00,-inf
2023-12-22 08:15:00,-inf
2023-12-22 08:20:00,-inf
2023-12-22 08:25:00,-inf
2023-12-22 08:30:00,-inf
2023-12-22 08:45:00,-inf
2023-12-22 08:50:00,-inf
2023-12-22 08:55:00,-inf
2023-12-22 09:00:00,-inf
2023-12-22 09:15:00,-inf
2023-12-22 09:20:00,-inf
2023-12-22 09:25:00,-inf
2023-12-22 09:30:00,-inf
2023-12-22 09:45:00,-inf
2023-12-22 09:50:00,-inf
2023-12-22 09:55:00,-inf
2023-12-22 10:00:00,-inf
2023-12-22 10:15:00,-inf
2023-12-22 10:20:00,-inf
2023-12-22 10:25:00,-inf
2023-12-22 10:30:00,-inf
2023-12-22 10:45:00,-inf
2023-12-22 10:50:00,-inf
2023-12-22 10:55:00,-inf
2023-12-22 11:00:00,-inf
2023-12-22 11:15:00,-inf
2023-12-22 11:20:00,-inf
2023-12-22 11:25:00,-inf
2023-12-22 11:30:00,-inf
2023-12-22 11:45:00,-inf
2023-12-22 11:50:00,-inf
2023-12-22 11:55:00,-inf
2023-12-22 12:00:00,-inf
2023-12-22 12:15:00,-inf
2023-12-22 12:20:00,-inf
2023-12-22 12:25:00,-inf
2023-12-22 12:30:00,-inf
2023-12-22 12:45:00,-inf
2023-12-22 12:50:00,-inf
2023-12-22 12:55:00,-inf
2023-12-22 13:00:00,-inf
2023-12-22 13:15:00,-inf
2023-12-22 13:20:00,-inf
2023-12-22 13:25:00,-inf
2023-12-22 13:30:00,-inf
2023-12-22 13:45:00,-inf
2023-12-22 13:50:00,-inf
2023-12-22 13:55:00,-inf
2023-12-22 14:00:00,-inf
2023-12-22 14:15:00,-inf
2023-12-22 14:20:00,-inf
2023-12-22 14:25:00,-inf
2023-12-22 14:30:00,-inf
2023-12-22 14:45:00,-inf
2023-12-22 14:50:00,-inf
2023-12-22 14:55:00,-inf
2023-12-22 15:00:00,-inf
2023-12-22 15:15:00,-inf
2023-12-22 15:20:00,-inf
2023-12-22 15:25:00,-inf
2023-12-22 15:30:00,-inf
2023-12-22 15:45:00,-inf
2023-12-22 15:50:00,-inf
2023-12-22 15:55:00,-inf
2023-12-22 16:00:00,-inf
2023-12-22 16:15:00,-inf
2023-12-22 16:20:00,-inf
2023-12-22 16:25:00,-inf
2023-12-22 16:30:00,-inf
2023-12-22 16:45:00,-inf
2023-12-22 16:50:00,-inf
2023-12-22 16:55:00,-inf
2023-12-22 17:00:00,-inf
2023-12-22 17:15:00,-inf
2023-12-22 17:20:00,-inf
2023-12-22 17:25:00,-inf
2023-12-22 17:30:00,-inf
2023-12-22 17:45:00,-inf
2023-12-22 17:50:00,-inf
2023-12-22 17:55:00,-inf
2023-12-22 18:00:00,-inf
2023-12-22 18:15:00,-inf
2023-12-22 18:20:00,-inf
2023-12-22 18:25:00,-inf
2023-12-22 18:30:00,-inf
2023-12-22 18:45:00,-inf
2023-12-22 18:50:00,-inf
2023-12-22 18:55:00,-inf
2023-12-22 19:00:00,-inf
2023-12-22 19:15:00,-inf
2023-12-22 19:20:00,-inf
2023-12-22 19:25:00,-inf
2023-12-22 19:30:00,-inf
2023-12-22 19:45:00,-inf
2023-12-22 19:50:00,-inf
2023-12-22 19:55:00,-inf
2023-12-22 20:00:00,-inf
2023-12-22 20:15:00,-inf
2023-12-22 20:20:00,-inf
2023-12-22 20:25:00,-inf
2023-12-22 20:30:00,-inf
2023-12-22 20:45:00,-inf
2023-12-22 20:50:00,-inf
2023-12-22 20:55:00,-inf
2023-12-22 21:00:00,-inf
2023-12-22 21:15:00,-inf
2023-12-22 21:20:00,-inf
2023-12-22 21:25:00,-inf
2023-12-22 21:30:00,-inf
2023-12-22 21:45:00,-inf
2023-12-22 21:50:00,-inf
2023-12-22 21:55:00,-inf
2023-12-22 22:00:00,-inf
2023-12-22 22:15:00,-inf
2023-12-22 22:20:00,-inf
2023-12-22 22:25:00,-inf
2023-12-22 22:30:00,-inf
2023-12-22 22:45:00,-inf
2023-12-22 22:50:00,-inf
2023-12-22 22:55:00,-inf
2023-12-22 23:00:00,-inf
2023-12-22 23:15:00,-inf
2023-12-22 23:20:00,-inf
2023-12-22 23:25:00,-inf
2023-12-22 23:30:00,-inf
2023-12-22 23:45:00,-inf
2023-12-22 23:50:00,-inf
2023-12-22 23:55:00,-inf
2023-12-23 00:00:00,-inf
2023-12-23 00:15:00,-inf
2023-12-23 00:20:00,-inf
2023-12-23 00:25:00,-inf
2023-12-23 00:30:00,-inf
2023-12-23 00:45:00,-inf
2023-12-23 00:50:00,-inf
2023-12-23 00:55:00,-inf
2023-12-23 01:00:00,-inf
2023-12-23 01:15:00,-inf
2023-12-23 01:20:00,-inf
2023-12-23 01:25:00,-inf
2023-12-23 01:30:00,-inf
2023-12-23 01:45:00,-inf
2023-12-23 01:50:00,-inf
2023-12-23 01:55:00,-inf
2023-12-23 02:00:00,-inf
2023-12-23 02:15:00,-inf
2023-12-23 02:20:00,-inf
2023-12-23 02:25:00,-inf
2023-12-23 02:30:00,-inf
2023-12-23 02:45:00,-inf
2023-12-23 02:50:00,-inf
2023-12-23 02:55:00,-inf
2023-12-23 03:00:00,-inf
2023-12-23 03:15:00,-inf
2023-12-23 03:20:00,-inf
2023-12-23 03:25:00,-inf
2023-12-23 03:30:00,-inf
2023-12-23 03:45:00,-inf
2023-12-23 03:50:00,-inf
2023-12-23 03:55:00,-inf
2023-12-23 04:00:00,-inf
2023-12-23 04:15:00,-inf
2023-12-23 04:20:00,-inf
2023-12-23 04:25:00,-inf
2023-12-23 04:30:00,-inf
2023-12-23 04:45:00,-inf
2023-12-23 04:50:00,-inf
2023-12-23 04:55:00,-inf
2023-12-23 05:00:00,-inf
2023-12-23 05:15:00,-inf
2023-12-23 05:20:00,-inf
2023-12-23 05:25:00,-inf
2023-12-23 05:30:00,-inf
2023-12-23 05:45:00,-inf
2023-12-23 05:50:00,-inf
2023-12-23 05:55:00,-inf
2023-12-23 06:00:00,-inf
2023-12-23 06:15:00,-inf
2023-12-23 06:20:00,-inf
2023-12-23 06:25:00,-inf
2023-12-23 06:30:00,-inf
2023-12-23 06:45:00,-inf
2023-12-23 06:50:00,-inf
2023-12-23 06:55:00,-inf
2023-12-23 07:00:00,-inf
2023-12-23 07:15:00,-inf
2023-12-23 07:20:00,-inf
2023-12-23 07:25:00,-inf
2023-12-23 07:30:00,-inf
2023-12-23 07:45:00,-inf
2023-12-23 07:50:00,-inf
2023-12-23 07:55:00,-inf
2023-12-23 08:00:00,-inf
2023-12-23 08:15:00,-inf
2023-12-23 08:20:00,-inf
2023-12-23 08:25:00,-inf
2023-12-23 08:30:00,-inf
2023-12-23 08:45:00,-inf
2023-12-23 08:50:00,-inf
2023-12-23 08:55:00,-inf
2023-12-23 09:00:00,-inf
2023-12-23 09:15:00,-inf
2023-12-23 09:20:00,-inf
2023-12-23 09:25:00,-inf
2023-12-23 09:30:00,-inf
2023-12-23 09:45:00,-inf
2023-12-23 09:50:00,-inf
2023-12-23 09:55:00,-inf
2023-12-23 10:00:00,-inf
2023-12-23 10:15:00,-inf
2023-12-23 10:20:00,-inf
2023-12-23 10:25:00,-inf
2023-12-23 10:30:00,-inf
2023-12-23 10:45:00,-inf
2023-12-23 10:50:00,-inf
2023-12-23 10:55:00,-inf
2023-12-23 11:00:00,-inf
2023-12-23 11:15:00,-inf
2023-12-23 11:20:00,-inf
2023-12-23 11:25:00,-inf
2023-12-23 11:30:00,-inf
2023-12-23 11:45:00,-inf
2023-12-23 11:50:00,-inf
2023-12-23 11:55:00,-inf
2023-12-23 12:00:00,-inf
2023-12-23 12:15:00,-inf
2023-12-23 12:20:00,-inf
2023-12-23 12:25:00,-inf
2023-12-23 12:30:00,-inf
2023-12-23 12:45:00,-inf
2023-12-23 12:50:00,-inf
2023-12-23 12:55:00,-inf
2023-12-23 13:00:00,-inf
2023-12-23 13:15:00,-inf
2023-12-23 13:20:00,-inf
2023-12-23 13:25:00,-inf
2023-12-23 13:30:00,-inf
2023-12-23 13:45:00,-inf
2023-12-23 13:50:00,-inf
